BRAND,MODEL,BODY TYPE,JAN,FEB,MAR,APR,MAY,JUNE,MoM% (2023),YoY% 
TATA,ALTROZ,hatchback,4658,5420,7250,7817,7825,6684,-14.2,27.5
,HARRIER,suv,2783,2303,2040,2091,1684,962,-45.4,-68.2
,NEXON,suv,15002,14420,13824,12456,8024,15425,90.5,5.3
,PUNCH,suv,10934,11124,10990,12038,15246,13034,-10.7,6.4
,SAFARI,suv,2029,1776,163,1546,1016,515,-46.3,-74.5
,TIAGO,hatchback,8450,8133,8125,8256,9452,6478,-28,-2.1
,TIGOR,sedan,3154,2701,3335,2685,2160,1534,-47.1,-58.5
HYUNDAI,ALCAZAR,suv,2037,2443,2119,1443,1493,1977,32.4,-25.2
,CRETA,suv,14186,14448,1447,14062,13832,12717,-8.1,-1.2
,EXTER,suv,0,0,0,7000,7430,8467,16.5,25
,GRAND I10,hatchback,6839,6385,6321,5337,7303,5223,-28.5,-44.8
,I20,hatchback,6472,6094,6162,5007,7896,6483,32.2,-10.9
,VENUE,suv,10342,10213,11606,10062,13948,12204,11.5,10.6
,VERNA,sedan,4001,3687,4001,2858,2576,2610,11.3,57.8
,AURA,sedan,5085,4707,4907,4514,4895,3900,-20.3,-8
KIA,CARENS,mpv,6107,6367,8047,6002,4359,4330,-0.7,-17.3
,SELTOS,suv,7213,4065,3578,9740,10698,10558,257.2,212.4
,SONET,suv,9744,8251,7722,4245,4120,4984,21,-46.4
MARUTI,ALTO,hatchback,11548,9368,11323,7099,9603,7791,-18.9,-68.6
,BALENO,hatchback,16180,18733,14077,16725,18516,18417,-0.5,-4.9
,BREZZA,suv,11836,13398,10578,16543,14572,15001,2.9,-2.9
,CELERIO,hatchback,4890,3216,3399,2893,4038,3246,-19.6,-39.8
,CIAZ,sedan,1017,992,1744,1348,849,1491,75.6,44.6
,DEZIRE,sedan,10132,11315,6322,13395,13293,13880,4.4,-12.2
,EECO,hatchback,10504,12818,9354,12037,11859,11149,-6,45.5
,ERTIGA,mpv,5532,10528,8422,14352,12315,13524,9.8,10
,FRONX,hatchback,8782,9863,7991,13220,12164,11528,-5.8,146.4
,GRAND VITARA,suv,7742,8877,10486,9079,11818,11455,-0.7,-64.2
,IGNIS,hatchback,4101,4551,4237,3223,2373,2056,-13.4,-40
,JIMNY,suv,0,0,0,3778,3104,2351,-34,-13.5
,S-PRESSO,hatchback,2562,2868,2731,2491,2606,2560,-14.6,-45.9
,SWIFT,hatchback,18753,17346,15955,17896,18653,14703,-21.2,22.6
,WAGONR,hatchback,20879,16258,17481,12970,15578,16250,4.3,-19.1
,XL6,mpv,2860,3577,2856,4320,4184,4511,7.8,47.4
MAHINDRA,BOLERO,suv,9054,8170,8686,8921,9092,9519,4.7,17.4
,MARAZZO,suv,0,33,79,81,47,144,206.4,-11.1
,SCORPIO,suv,9617,9315,8648,10552,9898,11846,19.7,24.2
,THAR,suv,5302,4296,3899,5265,5951,5417,-9,27.5
,XUV300,suv,5062,5125,5094,4533,4992,4961,-0.6,-18.4
,XUV400,suv,902,966,788,707,778,825,6,0
,XUV700,suv,4725,5245,5391,6176,6512,8555,31.4,41.1
JEEP,COMPASS,suv,266,316,211,277,172,931,127.3,-35.8
,MERIDIAN,suv,292,418,22,164,127,90,-29.1,-82.2
TOYOTA,CAMRY,sedan,63,142,184,190,259,181,43.1,280.9
,FORTUNER,suv,2578,2887,3086,2825,2874,2825,1.7,-2.1
,GLANZA,hatchback,3653,5179,3467,4932,4727,4932,-4.2,34
,VELFIRE,mpv,146,5,0,0,0,0,0,-95
,HYRYDER,suv,2616,3090,2821,3387,4121,3804,-7.7,227
,INNOVA,mpv,4837,7775,8361,8935,8666,8900,2.7,22.2
VOLKSWAGEN,TAIGUN,suv,1520,1484,1448,1943,1586,1908,-15.4,-9.8
,TIGUAN,suv,31,171,133,91,191,169,109,55.3
,VIRTUS,sedan,1631,1481,1812,2140,1791,1737,-16.3,-9.8
SKODA,KODIAQ,suv,140,157,194,159,241,191,-20.7,169
,KUSHAQ,suv,2162,1685,2133,2349,2409,2260,-6.2,1.6
,SLAVIA,sedan,1583,1695,169,1654,1657,1581,-4.6,68.7
,SUPERB,sedan,121,10,0,0,0,0,0,-96.2
NISSAN RENAULT,MAGNITE,suv,2617,2618,2552,2152,2258,2454,8.7,-20
,KIGER,suv,1162,1713,1877,1043,929,980,5.5,-61.3
,KWID,hatchback,1082,797,1349,762,883,747,-15.4,-62.7
,TRIBER,suv,2079,2115,2257,1802,1821,1642,-9.8,-46.8
MG,ASTOR,hatchback,705,592,891,954,814,901,10.7,-8.1
,GLOSTER,suv,281,217,263,251,240,201,-16.3,-35.4
,HECTOR,suv,3103,2800,2170,2106,2059,2653,28.8,26
